z,H_SI,H_km_s_Mpc
1.6500000000000001,5.590905699432409e-18,172.51732376970895
1.65125,5.594449390519013e-18,172.6266706511256
1.6525,5.5979941800019405e-18,172.73605142551136
1.65375,5.601540067372868e-18,172.84546607718102
1.655,5.605087052124113e-18,172.9549145904691
1.65625,5.6086351337486334e-18,173.06439694972994
1.6575,5.612184311740033e-18,173.17391313933777
1.65875,5.615734585592553e-18,173.28346314368653
1.6600000000000001,5.6192859548010756e-18,173.3930469471899
1.6612500000000001,5.622838418861117e-18,173.50266453428114
1.6625,5.626391977268836e-18,173.61231588941334
1.66375,5.6299466295210244e-18,173.7220009970591
1.665,5.633502375115106e-18,173.83171984171054
1.66625,5.637059213549145e-18,173.94147240787953
1.6675,5.6406171443218346e-18,174.0512586800974
1.66875,5.644176166932501e-18,174.16107864291493
1.67,5.647736280881099e-18,174.27093228090237
1.6712500000000001,5.651297485668216e-18,174.38081957864944
1.6725,5.65485978079507e-18,174.49074052076534
1.67375,5.658423165763499e-18,174.6006950918784
1.675,5.6619876400759774e-18,174.71068327663656
1.67625,5.665553203235601e-18,174.82070505970697
1.6775,5.66911985474609e-18,174.93076042577604
1.67875,5.672687594111785e-18,175.04084935954936
1.68,5.6762564208376564e-18,175.15097184575183
1.6812500000000001,5.679826334429296e-18,175.26112786912768
1.6825,5.6833973343929085e-18,175.37131741443991
1.68375,5.686969420235325e-18,175.481540466471
1.685,5.690542591463995e-18,175.5917970100224
1.68625,5.694116847586984e-18,175.7020870299145
1.6875,5.697692188112974e-18,175.81241051098698
1.68875,5.701268612551262e-18,175.9227674380982
1.69,5.704846120411764e-18,176.0331577961258
1.6912500000000001,5.708424711205007e-18,176.14358156996622
1.6925000000000001,5.7120043844421274e-18,176.25403874453468
1.69375,5.71558513963488e-18,176.36452930476554
1.695,5.719166976295625e-18,176.4750532356118
1.69625,5.722749893937335e-18,176.58561052204536
1.6975,5.72633389207359e-18,176.69620114905683
1.69875,5.729918970218582e-18,176.8068251016558
1.7,5.733505127887103e-18,176.9174823648703
1.70125,5.7370923645945554e-18,177.02817292374715
1.7025000000000001,5.7406806798569446e-18,177.13889676335194
1.70375,5.744270073190884e-18,177.24965386876886
1.705,5.74786054411358e-18,177.36044422510045
1.70625,5.751452092142853e-18,177.4712678174682
1.7075,5.755044716797118e-18,177.582124631012
1.70875,5.75863841759539e-18,177.69301465089018
1.71,5.762233194057283e-18,177.80393786227953
1.71125,5.7658290457030104e-18,177.91489425037543
1.7125000000000001,5.769425972053385e-18,178.02588380039168
1.71375,5.773023972629808e-18,178.13690649756032
1.715,5.776623046954284e-18,178.24796232713186
