z,H_GeV,E,DL_GeV^-1,DA_GeV^-1,chi_GeV^-1
2.505,5.4296616635130484e-42,4.563019913001492,3.274597937882259e+42,2.6655199626229974e+41,9.342647468993607e+41
2.52,5.462894779759555e-42,4.59094860922633,3.2983066450728414e+42,2.6619856058503692e+41,9.3701893325933e+41
2.535,5.496209007877487e-42,4.618945470855834,3.3220388569775804e+42,2.658433932629719e+41,9.397563951846056e+41
2.55,5.529604078994904e-42,4.647010271933381,3.3457943958156705e+42,2.654865618580179e+41,9.424772945959634e+41
2.565,5.563079727184512e-42,4.67514278897699,3.369573086158178e+42,2.6512813221562906e+41,9.451817913487176e+41
2.58,5.5966356894141663e-42,4.70334280093773,3.3933747548841406e+42,2.647681685094208e+41,9.478700432637266e+41
2.595,5.6302717054983826e-42,4.731610089158965,3.417199231137686e+42,2.644067332845368e+41,9.505422061579098e+41
2.61,5.663987518050849e-42,4.759944437336452,3.441046346286152e+42,2.6404388749980066e+41,9.531984338742803e+41
2.625,5.6977828724379094e-42,4.788345631479243,3.4649159338791834e+42,2.6367969056868935e+41,9.55838878311499e+41
2.64,5.7316575167329943e-42,4.8168134598713905,3.488807829608768e+42,2.633142003991643e+41,9.584636894529581e+41
2.655,5.765611201671986e-42,4.845347713034443,3.512721871270193e+42,2.629474734323944e+41,9.610730153954016e+41
2.67,5.799643680609491e-42,4.873948183690686,3.5366578987239033e+42,2.6257956468040474e+41,9.636670023770854e+41
2.685,5.83375470947599e-42,4.902614666727144,3.560615753858224e+42,2.622105277626834e+41,9.662457948054883e+41
2.7,5.867944046735875e-42,4.931346959160305,3.584595280552935e+42,2.6184041494177755e+41,9.688095352845769e+41
2.715,5.902211453346316e-42,4.960144860101558,3.608596324643667e+42,2.614692771579093e+41,9.71358364641633e+41
2.73,5.936556692716968e-42,4.989008170723326,3.632618733887106e+42,2.6109716406264013e+41,9.738924219536478e+41
2.745,5.970979530670482e-42,5.01793669422589,3.656662357926979e+42,2.6072412405161337e+41,9.764118445732921e+41
2.76,6.005479735403811e-42,5.046930235804861,3.680727048260795e+42,2.6035020429640073e+41,9.789167681544668e+41
2.775,6.040057077450291e-42,5.075988602619317,3.7048126582073373e+42,2.599754507754809e+41,9.814073266774403e+41
2.79,6.074711329642475e-42,5.10511160376057,3.728919042874869e+42,2.595999083043747e+41,9.838836524735802e+41
2.805,6.109442267075712e-42,5.134299050221559,3.753046059130048e+42,2.5922362056496296e+41,9.86345876249684e+41
2.82,6.144249667072445e-42,5.163550754866843,3.777193565567522e+42,2.5884663013400964e+41,9.887941271119168e+41
2.835,6.179133309147217e-42,5.192866532403193,3.801361422480197e+42,2.5846897851091535e+41,9.912285325893604e+41
2.85,6.214092974972369e-42,5.222246199350771,3.825549491830146e+42,2.580907061447223e+41,9.936492186571807e+41
2.865,6.249128448344413e-42,5.251689574014863,3.8497576372201594e+42,2.5771185246039337e+41,9.960563097594203e+41
2.88,6.284239515151069e-42,5.281196476458179,3.8739857238659084e+42,2.5733245588438653e+41,9.984499288314197e+41
2.895,6.319425963338937e-42,5.31076672847369,3.898233618568709e+42,2.569525538695447e+41,1.0008301973218765e+42
2.91,6.354687582881819e-42,5.340400153557998,3.922501189688873e+42,2.565721829193211e+41,1.0031972352145454e+42
2.925,6.390024165749637e-42,5.370096576885222,3.946788307119627e+42,2.5619137861135963e+41,1.0055511610495866e+42
2.94,6.425435505877971e-42,5.399855825281394,3.971094842261593e+42,2.558101756204484e+41,1.0078920919445668e+42
2.955,6.460921399138185e-42,5.429677727199355,3.9954206679978033e+42,2.5542860774086497e+41,1.010220143615121e+42
2.97,6.496481643308116e-42,5.459562112694123,4.019765658669251e+42,2.550467079081303e+41,1.0125354303952774e+42
2.985,6.532116038043348e-42,5.489508813398753,4.044129690050952e+42,2.5466450822018904e+41,1.0148380652574533e+42
